review_id,review_text,gold_sentiment,note
R001,"A beautifully acted film with a simple story that becomes surprisingly emotional by the end.",positive,"Very positive - strong emotional impact"
R003,"I loved the chemistry between the leads and the soundtrack fits every scene perfectly.",positive,"Very positive - explicit praise"
R005,"A clever script, strong direction, and an ending that feels earned rather than forced.",positive,"Very positive - multiple praise elements"
R009,"A touching and thoughtful movie that rewards patience with a powerful emotional payoff.",positive,"Very positive - emotional resonance"
R021,"A delightful surprise with strong performances, memorable scenes, and a very satisfying conclusion.",positive,"Very positive - enthusiastic tone"
R008,"The film is not perfect, but it has heart, energy, and a cast that clearly understands the material.",positive,"Negation pattern - ""not perfect"" but still positive"
R002,"The pacing is slow at first, but the performances and final scene make the movie memorable.",positive,"Mixed surface - negative aspect with positive outcome"
R004,"The plot is predictable, yet the warm characters and sharp dialogue kept me engaged.",positive,"Mixed surface - negative aspect negated by positive elements"
R025,"I expected very little, but the movie surprised me with its humor, warmth, and thoughtful ending.",positive,"Sarcasm/indirect - low expectations exceeded"
R045,"A disappointing sequel that adds more noise but loses the charm of the original.",negative,"Comparative - mixed sentiment with negative lean"
R026,"The film looks expensive, but the story is thin and the characters are hard to care about.",negative,"Mixed surface - positive visuals contrast with negative story"
R033,"The soundtrack is impressive, but almost every character decision feels forced.",negative,"Mixed surface - one positive element vs multiple negatives"
R046,"The visual effects are fine, but the film lacks personality and emotional weight.",negative,"Mixed surface - surface positive masked by deeper flaws"
R012,"A quiet film, but the silence and small gestures say more than most loud dramas.",positive,"Short but ambiguous - subtle interpretation needed"
R027,"A dull movie with flat dialogue, weak pacing, and an ending that feels completely unearned.",negative,"Very negative - multiple aspects criticized"
R029,"The movie starts with promise and then slowly collapses into predictable twists and noisy scenes.",negative,"Very negative - downward trajectory"
R030,"I wanted to enjoy it, but the plot is confusing, the jokes fall flat, and the runtime feels endless.",negative,"Very negative - multiple failures"
R032,"The film repeats the same idea for two hours and never builds real tension.",negative,"Very negative - monotonous and boring"
R037,"There are a few clever moments, but most of the film feels lazy and predictable.",negative,"Mixed surface - rare positive moments overwhelmed by negatives"
R035,"The final act tries to be emotional, but it has not earned that reaction from the audience.",negative,"Negation pattern - ""has not earned"" criticism"
R038,"The dialogue sounds artificial and the characters explain feelings instead of showing them.",negative,"Very negative - artificial execution"
R039,"The movie relies on loud music and quick cuts instead of suspense or meaningful conflict.",negative,"Very negative - poor direction choices"
R041,"The premise is interesting, but the execution is painfully generic.",negative,"Mixed surface - interesting idea poorly executed"
R044,"The movie explains too much, trusts the audience too little, and still leaves major plot points unclear.",negative,"Long review - multiple clauses and complex issues"
R013,"The movie has a few weak jokes, but the emotional core works extremely well.",positive,"Mixed surface - weak elements offset by strong emotional core"
R031,"Beautiful images cannot hide the lack of emotional depth or meaningful character development.",negative,"Very negative - surface beauty cannot compensate"
R034,"A messy and unfocused movie that seems unsure whether it wants to be comedy, drama, or thriller.",negative,"Very negative - identity crisis and disorganization"
R040,"An overlong film with too many subplots and not enough reason to care about any of them.",negative,"Very negative - structural problems"
R007,"This movie balances humor and drama very well, with several scenes that stayed with me.",positive,"Very positive - successful tonal balance"
R015,"A smart and entertaining film with enough surprises to keep the audience invested.",positive,"Very positive - engagement and intelligence"
